,Position,Team,Wins,Draws,Loses,Goals Scored,Goals Conceded,Goal Difference,Points
12,1,Manchester City,28,5,5,94,33,61,92
0,2,Arsenal,26,6,6,88,43,45,76
4,3,Brighton and Hove Albion,18,8,12,72,53,19,73
13,4,Manchester United,23,6,9,58,43,15,72
17,5,Tottenham Hotspur,18,6,14,70,63,7,68
11,6,Liverpool,19,10,9,75,47,28,66
14,7,Newcastle United,19,14,5,68,33,35,63
3,8,Brentford,15,14,9,58,46,12,58
1,9,Aston Villa,18,7,13,51,46,5,53
8,10,Fulham,15,7,16,55,53,2,47
5,11,Chelsea,11,11,16,38,47,-9,46
10,12,Leicester City,9,7,22,51,68,-17,45
18,13,West Ham United,11,7,20,42,55,-13,43
6,14,Crystal Palace,11,12,15,40,49,-9,41
7,15,Everton,8,12,18,34,57,-23,35
15,16,Nottingham Forest,8,10,17,36,65,-29,32
2,17,Bournemouth,11,6,21,37,71,-34,32
16,18,Southampton,6,7,25,36,73,-37,30
9,19,Leeds United,7,10,21,48,78,-30,27
19,20,Wolverhampton Wanderers,11,8,19,31,58,-27,21
